,realtime_start,realtime_end,date,value
0,2021-07-31,2021-07-31,1959-01-01,16.042
1,2021-07-31,2021-07-31,1959-02-01,16.057
2,2021-07-31,2021-07-31,1959-03-01,16.068
3,2021-07-31,2021-07-31,1959-04-01,16.1
4,2021-07-31,2021-07-31,1959-05-01,16.109
5,2021-07-31,2021-07-31,1959-06-01,16.155
6,2021-07-31,2021-07-31,1959-07-01,16.189
7,2021-07-31,2021-07-31,1959-08-01,16.212
8,2021-07-31,2021-07-31,1959-09-01,16.255
9,2021-07-31,2021-07-31,1959-10-01,16.294
10,2021-07-31,2021-07-31,1959-11-01,16.304
11,2021-07-31,2021-07-31,1959-12-01,16.323
12,2021-07-31,2021-07-31,1960-01-01,16.314
13,2021-07-31,2021-07-31,1960-02-01,16.331
14,2021-07-31,2021-07-31,1960-03-01,16.34
15,2021-07-31,2021-07-31,1960-04-01,16.4
16,2021-07-31,2021-07-31,1960-05-01,16.417
17,2021-07-31,2021-07-31,1960-06-01,16.424
18,2021-07-31,2021-07-31,1960-07-01,16.453
19,2021-07-31,2021-07-31,1960-08-01,16.481
20,2021-07-31,2021-07-31,1960-09-01,16.491
21,2021-07-31,2021-07-31,1960-10-01,16.51
22,2021-07-31,2021-07-31,1960-11-01,16.565
23,2021-07-31,2021-07-31,1960-12-01,16.569
24,2021-07-31,2021-07-31,1961-01-01,16.571
25,2021-07-31,2021-07-31,1961-02-01,16.587
26,2021-07-31,2021-07-31,1961-03-01,16.578
27,2021-07-31,2021-07-31,1961-04-01,16.568
28,2021-07-31,2021-07-31,1961-05-01,16.577
29,2021-07-31,2021-07-31,1961-06-01,16.585
30,2021-07-31,2021-07-31,1961-07-01,16.621
31,2021-07-31,2021-07-31,1961-08-01,16.635
32,2021-07-31,2021-07-31,1961-09-01,16.654
33,2021-07-31,2021-07-31,1961-10-01,16.652
34,2021-07-31,2021-07-31,1961-11-01,16.653
35,2021-07-31,2021-07-31,1961-12-01,16.658
36,2021-07-31,2021-07-31,1962-01-01,16.689
37,2021-07-31,2021-07-31,1962-02-01,16.734
38,2021-07-31,2021-07-31,1962-03-01,16.756
39,2021-07-31,2021-07-31,1962-04-01,16.775
40,2021-07-31,2021-07-31,1962-05-01,16.786
41,2021-07-31,2021-07-31,1962-06-01,16.796
42,2021-07-31,2021-07-31,1962-07-01,16.787
43,2021-07-31,2021-07-31,1962-08-01,16.811
44,2021-07-31,2021-07-31,1962-09-01,16.894
45,2021-07-31,2021-07-31,1962-10-01,16.876
46,2021-07-31,2021-07-31,1962-11-01,16.889
47,2021-07-31,2021-07-31,1962-12-01,16.882
48,2021-07-31,2021-07-31,1963-01-01,16.923
49,2021-07-31,2021-07-31,1963-02-01,16.941
50,2021-07-31,2021-07-31,1963-03-01,16.928
51,2021-07-31,2021-07-31,1963-04-01,16.927
52,2021-07-31,2021-07-31,1963-05-01,16.954
53,2021-07-31,2021-07-31,1963-06-01,16.991
54,2021-07-31,2021-07-31,1963-07-01,17.025
55,2021-07-31,2021-07-31,1963-08-01,17.048
56,2021-07-31,2021-07-31,1963-09-01,17.044
57,2021-07-31,2021-07-31,1963-10-01,17.078
58,2021-07-31,2021-07-31,1963-11-01,17.102
59,2021-07-31,2021-07-31,1963-12-01,17.127
60,2021-07-31,2021-07-31,1964-01-01,17.163
61,2021-07-31,2021-07-31,1964-02-01,17.188
62,2021-07-31,2021-07-31,1964-03-01,17.198
